License Type,License Number,Name,Address,Phone,License Expiration Date,Insurance / Bond Expiration Date,License Inactive?,Tags
General Contractor (Class A),TGC04300,"""D"" CONSTRUCTION, INC","1488 SOUTH BROADWAY ROAD, COAL CITY, IL 60416",(815) 634-2555,3/10/2025,06/01/2025,No,General
Electrical Contractor (General),ECC93382,"""E"" MISSIONS ELECTRICAL SYSTEM","7932 S EUCLID AVE, CHICAGO, IL 60617-",(773) 731-0944,6/21/2025,,No,Electrical
Electrical Contractor (General),ECC92504,"""Z"" ELECTRIC","10821 S KENTON AVE, OAK LAWN, IL 60453-",(708) 423-6967,12/15/2021,,Yes,Electrical
General Contractor (Class E),TGC119119,'98 BUILDERS INC,"2622 S KEDVALE, CHICAGO, IL 60623",(312) 409-5627,2/11/2025,01/28/2025,No,General
General Contractor (Class D),TGC065100,"(XRB) CONSTRUCTION SERVICES, LLC.","4933 BUTTERFIELD RD, HILLSIDE, IL 60162-",(312) 656-8984,4/3/2025,04/05/2025,No,General
General Contractor (Class D),TGC131368,1 NAMCA LLC,"1111 N CALIFORNIA AVE, CHICAGO, IL 60622",(773) 377-5000,5/5/2025,04/04/2025,No,General
General Contractor (Class E),TGC121864,1 PRECISE BUILDER INC,"606 HICKORY ST, CHICAGO HEIGHTS, IL 60411",(708) 737-3887,8/30/2024,08/08/2025,Yes,General
General Contractor (Class E),TGC117203,1-800 WATER DAMAGE OF NW SUBURBAN CHICAGO,"731 FAIRFIELD CT, ANN ARBOR, MI 48108",(224) 678-9520,9/25/2022,07/01/2022,Yes,General
General Contractor (Class D),TGC104840,1220 LLC,"211 EAST CIRCLE AVENUE, PROSPECT HEIGHTS, IL 60070",(847) 812-8814,8/27/2025,04/11/2025,No,General
General Contractor (Class E),TGC109400,"123 GC CONSTRUCTION, INC.","6010 N NORTHWEST HIGHWAY, CHICAGO, IL 60631",(773) 225-0712,5/22/2025,05/24/2025,No,General
General Contractor (Class D),TGC015121,"123 REMODELING, INC","5070 N KIMBERLY AVE, UNIT C, CHICAGO, IL 60630-",(773) 685-6095,11/24/2025,02/19/2025,No,General
Electrical Contractor (General),ECC95395,123 VOLTAGE INC.,"3934 N PITTSBURGH AVE, CHICAGO, IL 60634",(773) 732-0666,12/21/2025,,No,Electrical
General Contractor (Class E),TGC132120,1417 E 87TH LLC,"235 FORSTER DRIVE, OSWEGO, IL 60543",(847) 890-2944,6/16/2025,06/09/2025,No,General
